School,Type_of_Organization,County,School_District,School_City,School_Zip_Code,School_Street,Number_of_Outlets_LT_15_ppb,Number_of_Outlets_GT_15_ppb,Any_Buildings_with_Lead_Free_Plumbing,Out_of_Service,Latitude,Longitude,Median_HH_income,County_population,County_White,County_Black_AfAm,County_Asian,County_Hispanic_Latino
Q242,Public School,Queens,NYC DOE,Queens,11354,29-66 137 STREET,78,0,No,No,40.769752, -73.832005,48236,2230722,616727,395881,508334,613750
AA GATES ES,Public School,Cayuga,PORT BYRON CENTRAL SCHOOL DISTRICT,PORT BYRON,13140,30 MAPLE AVE,131,12,No,Yes,42.940095, -76.560755,45472,80026,73098,3009,387,1896
PS 195 CITY HONORS AT FMP,Public School,Erie,BUFFALO CITY SCHOOLS,BUFFALO,14204,186 E NORTH ST,116,6,No,Yes,42.888143, -78.795544,20888,919040,714156,119916,23621,41731
WALES ES,Public School,Erie,IROQUOIS CENTRAL SCHOOL,EAST AURORA,14052,WOODCHUCK RD,56,0,No,Yes,42.888143, -78.795544,71084,919040,714156,119916,23621,41731
TAMARAC ELEM SCHOOL,Public School,Suffolk,SACHEM CENT SCH AT HOLBROOK,HOLTSVILLE,11742,50 SPENCE AVE,56,0,No,Yes,40.820237, -73.119032,86197,1493350,1068728,102117,50295,246239
Q585,Public School,Queens,NYC DOE,Queens,11373,54-40 74TH STREET,147,0,No,No,40.729104, -73.887909,44964,2230722,616727,395881,508334,613750
Q695,Public School,Queens,NYC DOE,Queens,11432,160-20 GOETHALS AVENUE,143,0,No,No,40.718027, -73.805923,50130,2230722,616727,395881,508334,613750
M040,Public School,New York,NYC DOE,Manhattan,10003,319 EAST 19 STREET,93,0,No,No,40.735328, -73.981536,91767,1585873,761493,205340,177624,403577
SODUS JR/SR HIGH SCHOOL,Public School,Wayne,SODUS CENTRAL SCHOOL,SODUS,14551,54 MILL ST EXT,111,45,No,Yes,43.144336, -77.117995,48063,93772,85318,2743,465,3476
K035,Public School,Kings,NYC DOE,Brooklyn,11233,272 MACDONOUGH STREET,73,0,No,No,40.681528, -73.935891,35620,2504700,893306,799066,260129,496285
PROSPECT HILL SCHOOL,Public School,Westchester,PELHAM UNION FREE SCHOOL,PELHAM MANOR,10803,CLAY AND WASH AVES,40,0,No,Yes,41.039278, -73.805386,145e3,949113,544563,126585,51123,207032
X011,Public School,Bronx,NYC DOE,Bronx,10452,1257 OGDEN AVENUE,57,0,No,No,40.839693, -73.92589,26636,1385108,151209,416695,47335,741413
K202,Public School,Kings,NYC DOE,Brooklyn,11208,982 HEGEMAN AVENUE,60,0,No,No,40.665817, -73.876084,35665,2504700,893306,799066,260129,496285
LEWISTON PORTER S H S,Public School,Niagara,LEWISTON PORTER CENTRAL SCHOOL,YOUNGSTOWN,14174,4061 CREEK RD,23,3,No,Yes,43.134634, -78.856419,63431,216469,188907,14511,1807,4694
K877,Public School,Kings,NYC DOE,Brooklyn,11226,35 SNYDER AVENUE,9,0,No,No,40.648949, -73.956928,40146,2504700,893306,799066,260129,496285
VANDERBILT ELEM SCHOOL,Public School,Suffolk,HALF HOLLOW HILLS CENTRAL SCH,DIX HILLS,11746,350 DEER PARK AVE,62,0,No,Yes,40.820237, -73.119032,96499,1493350,1068728,102117,50295,246239
SHELTER ROCK ELEM SCHOOL,Public School,Nassau,MANHASSET UNION FREE SCHOOL,MANHASSET,11030,SHELTER ROCK RD,183,0,No,Yes,40.715749, -73.601185,174015,1339532,877309,141305,101558,195355
Q099,Public School,Queens,NYC DOE,Queens,11415,82-37 KEW GARDENS ROAD,77,0,No,No,40.711502, -73.827722,60287,2230722,616727,395881,508334,613750
M276,Public School,New York,NYC DOE,Manhattan,10280,55 BATTERY PLACE,182,0,No,No,40.706384, -74.017456,125830,1585873,761493,205340,177624,403577
KREAMER STREET ELEM SCHOOL,Public School,Suffolk,SOUTH COUNTRY CENTRAL SCHOOL,BELLPORT,11713,KREAMER ST,91,0,No,Yes,40.820237, -73.119032,76875,1493350,1068728,102117,50295,246239
MARCELLUS H S,Public School,Onondaga,MARCELLUS CENTRAL SCHOOL,MARCELLUS,13108,REED PKY,101,41,No,Yes,43.065629, -76.168033,80795,467026,370040,48696,14370,18829
THE EXPEDITIONARY LEARNING SCHOOL,Public School,Onondaga,SYRACUSE CITY SCHOOLS,SYRACUSE,13205,4942 SOUTH SALINA STREET,37,1,No,Yes,43.065629, -76.168033,31076,467026,370040,48696,14370,18829
Q570,Public School,Queens,NYC DOE,Queens,11106,35-12 35TH AVENUE,135,0,No,No,40.756099, -73.925182,49371,2230722,616727,395881,508334,613750
NORTH SHORE S H S,Public School,Nassau,NORTH SHORE CENTRAL SCHOOL,GLEN HEAD,11545,450 GLENCOVE AVE,37,0,No,Yes,40.715749, -73.601185,137302,1339532,877309,141305,101558,195355
ALLEGANY LIMESTONE ES,Public School,Cattaraugus,ALLEGANY-LIMESTONE CSD,ALLEGANY,14706,120 MAPLE AVE,85,0,No,Yes,42.224267, -78.606673,51660,80317,73849,966,524,1345
CS ELEMENTARY,Public School,Wayne,CLYDE-SAVANNAH CENTRAL SCHOOL,CLYDE,14433,EAST DEZENG ST,85,0,No,No,43.144336, -77.117995,49173,93772,85318,2743,465,3476
Q112,Public School,Queens,NYC DOE,Queens,11101,25-05 37 AVENUE,87,0,No,No,40.757293, -73.933562,43909,2230722,616727,395881,508334,613750
SEAFORD MIDDLE SCHOOL,Public School,Nassau,SEAFORD UNION FREE SCHOOL,SEAFORD,11783,3940 SUNSET AVE,31,0,No,Yes,40.715749, -73.601185,100722,1339532,877309,141305,101558,195355
M902,Public School,New York,NYC DOE,Manhattan,10033,4360 BROADWAY,4,0,No,No,40.853474, -73.93405,41352,1585873,761493,205340,177624,403577
ULYSSES BYAS SCHOOL,Public School,Nassau,ROOSEVELT UNION FREE SCHOOL,ROOSEVELT,11575,UNDERHILL AVE,37,0,No,Yes,40.715749, -73.601185,68524,1339532,877309,141305,101558,195355
X021,Public School,Bronx,NYC DOE,Bronx,10466,715 EAST 225 STREET,61,0,No,No,40.887888, -73.85942,44038,1385108,151209,416695,47335,741413
FOREST LAKE SCHOOL,Public School,Nassau,WANTAGH UNION FREE SCHOOL,WANTAGH,11793,3100 BELTAGH AVE,109,6,No,Yes,40.715749, -73.601185,108274,1339532,877309,141305,101558,195355
Q100,Public School,Queens,NYC DOE,Queens,11420,111-11 118 STREET,92,0,No,No,40.679694, -73.821545,60603,2230722,616727,395881,508334,613750
X853,Public School,Bronx,NYC DOE,Bronx,10457,2120 QUARRY ROAD,17,0,No,No,40.850852, -73.893176,24445,1385108,151209,416695,47335,741413
ACADIA MIDDLE SCHOOL,Public School,Saratoga,SHENENDEHOWA CENTRAL SCHOOL,CLIFTON PARK,12065,970 RT 146,61,11,No,Yes,43.00894, -73.786779,77931,219607,203647,3053,3880,5279
ROCKLAND BOCES HEALTH & SAFETY CENTER (LEAD ONLY),BOCES School,Rockland,BOCES No District Name,WEST NYACK,10994,65 PARROTT ROAD,4,0,No,Yes,41.127287, -74.017033,126386,311687,203670,34623,19099,48783
K005,Public School,Kings,NYC DOE,Brooklyn,11233,820 HANCOCK STREET,128,0,No,No,40.685241, -73.92197,35620,2504700,893306,799066,260129,496285
Q610,Public School,Queens,NYC DOE,Queens,11101,45-30 36 STREET,306,0,No,No,40.743309, -73.929577,43909,2230722,616727,395881,508334,613750
Q162,Public School,Queens,NYC DOE,Queens,11364,201-02 53 AVENUE,120,0,No,No,40.748405, -73.776576,73079,2230722,616727,395881,508334,613750
Q315,Public School,Queens,NYC DOE,Queens,11368,43-18 97TH PLACE,214,0,No,No,40.745995, -73.866372,46325,2230722,616727,395881,508334,613750
OAK PARK ELEMENTARY SCHOOL,Public School,Suffolk,BRENTWOOD UNION FREE SCHOOL,BRENTWOOD,11717,775 WISCONSIN AVE,50,0,No,Yes,40.820237, -73.119032,68937,1493350,1068728,102117,50295,246239
PS 72 LORRAINE ELEMENTARY SCHOOL,Public School,Erie,BUFFALO CITY SCHOOLS,BUFFALO,14220,71 LORRAINE AVE,91,2,No,Yes,42.888143, -78.795544,46976,919040,714156,119916,23621,41731
STOCKBRIDGE VALLEY CENTRAL SCHOOL,Public School,Madison,STOCKBRIDGE VALLEY CENTRAL SCHOOL,MUNNSVILLE,13409,6011 WILLIAMS RD,34,0,No,Yes,42.986917, -75.720031,51042,73442,68916,1260,576,1316
MEXICO HIGH SCHOOL,Public School,Oswego,MEXICO CENTRAL SCHOOL,MEXICO,13114,338 MAIN ST,NA,NA,No,No,43.39123, -76.31133,51438,122109,116091,862,709,2552
HORSEHEADS INTERMEDIATE SCHOOL,Public School,Chemung,HORSEHEADS CENTRAL SCHOOL DISTRICT,HORSEHEADS,14845,952 SING SING RD,144,0,No,No,42.116644, -76.812331,59011,88830,77643,5528,1041,2240
"WETZEL ROAD SCHOOL (MIXED GRADES, LEAD ONLY)",Public School,Onondaga,LIVERPOOL CENTRAL SCHOOL,LIVERPOOL,13090,4246 WETZEL ROAD,47,3,No,Yes,43.065629, -76.168033,70564,467026,370040,48696,14370,18829
K804,Public School,Kings,NYC DOE,Brooklyn,11201,347 BALTIC STREET,45,0,No,No,40.684869, -73.990884,93693,2504700,893306,799066,260129,496285
Q127,Public School,Queens,NYC DOE,Queens,11369,98-01 25 AVENUE,77,0,No,No,40.765507, -73.870931,55553,2230722,616727,395881,508334,613750
JOHN F. KENNEDY MIDDLE SCHOOL,Public School,Oneida,UTICA CITY SCHOOLS,UTICA,13502,500 DEERFIELD DRIVE EAST,98,0,No,No,43.149482, -75.361773,39266,234878,199254,13682,6522,10819
FORT SALONGA ES,Public School,Suffolk,KINGS PARK CENTRAL SCHOOL,NORTHPORT,11768,39 SUNKEN MEADOW RD,41,0,No,Yes,40.820237, -73.119032,117005,1493350,1068728,102117,50295,246239
TANGLEWOOD ELEM SCHOOL,Public School,Saratoga,SOUTH GLENS FALLS CENTRAL SCHOOL,SOUTH GLENS FALLS,12803,60 TANGLEWOOD DRIVE,90,6,No,Yes,43.00894, -73.786779,58088,219607,203647,3053,3880,5279
Q041,Public School,Queens,NYC DOE,Queens,11361,214-43 35 AVENUE,71,0,No,No,40.770155, -73.771225,72837,2230722,616727,395881,508334,613750
Q104,Public School,Queens,NYC DOE,Queens,11691,26-01 MOTT AVENUE,71,0,No,No,40.608002, -73.764621,38631,2230722,616727,395881,508334,613750
R059,Public School,Richmond,NYC DOE,Staten Island,10301,300 Richmond Terrace,68,0,No,No,40.647898, -74.083408,54792,468730,300169,44313,34697,81051
BARKER ELEM SCHOOL,Public School,Niagara,BARKER CENTRAL SCHOOL,BARKER,14012,1628 QUAKER RD,123,0,No,Yes,43.134634, -78.856419,45185,216469,188907,14511,1807,4694
HEUVELTON CENTRAL SCHOOL,Public School,St. Lawrence,HEUVELTON CENTRAL SCHOOL,HEUVELTON,13654,87 WASHINGTON ST,77,0,No,Yes,44.689468, -75.242045,46970,111944,103943,2259,1074,2146
PLEASANTVILLE MIDDLE SCHOOL,Public School,Westchester,PLEASANTVILLE U F S,PLEASANTVILLE,10570,ROMER AVE,77,8,No,Yes,41.039278, -73.805386,128646,949113,544563,126585,51123,207032
UDALL ROAD MIDDLE SCHOOL,Public School,Suffolk,WEST ISLIP UNION FREE SCHOOL,WEST ISLIP,11795,900 UDALL RD,106,4,No,Yes,40.820237, -73.119032,108963,1493350,1068728,102117,50295,246239
MILL ROAD - PRIMARY GRADES,Public School,Dutchess,RED HOOK CENTRAL SCHOOL,RED HOOK,12571,9 MILL ROAD,137,8,No,Yes,41.686216, -73.840468,67266,297488,221812,27395,10330,31267
COLONIE CENTRAL HS,Public School,Albany,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,ALBANY,12205,1 RAIDER BLVD,156,19,No,Yes,42.678066, -73.814233,64953,304204,231152,36396,14500,14917
K220,Public School,Kings,NYC DOE,Brooklyn,11220,4812 9TH AVENUE,74,0,No,No,40.640997, -74.00125,38267,2504700,893306,799066,260129,496285
K136,Public School,Kings,NYC DOE,Brooklyn,11232,4004 4 AVENUE,110,0,No,No,40.652127, -74.007596,40565,2504700,893306,799066,260129,496285
MARILLA ES,Public School,Erie,IROQUOIS CENTRAL SCHOOL,MARILLA,14102,BULLIS RD,53,13,No,Yes,42.888143, -78.795544,84063,919040,714156,119916,23621,41731
JOSEPH A EDGAR ELEM SCHOOL,Public School,Suffolk,ROCKY POINT UNION FREE SCHOOL,ROCKY POINT,11778,RT 25A,18,0,No,Yes,40.820237, -73.119032,89460,1493350,1068728,102117,50295,246239
TRAVER ROAD PRIMARY SCHOOL,Public School,Dutchess,ARLINGTON CENTRAL SCHOOL DISTRICT,PLEASANT VALLEY,12569,801 TRAVER RD,53,3,No,Yes,41.686216, -73.840468,73481,297488,221812,27395,10330,31267
GEORGE W MILLER ELEM SCHOOL,Public School,Rockland,NANUET UNION FREE SCHOOL,NANUET,10954,50 BLAUVELT RD,83,6,No,Yes,41.127287, -74.017033,93141,311687,203670,34623,19099,48783
WILLIAM O SCHAEFER ELEMENTARY SCHOOL,Public School,Rockland,SOUTH ORANGETOWN CENTRAL SCHOOL DISTRICT,TAPPAN,10983,140 LESTER DR,72,0,No,Yes,41.127287, -74.017033,12e4,311687,203670,34623,19099,48783
BALLSTON SPA MIDDLE SCHOOL,Public School,Saratoga,BALLSTON SPA CENTRAL SCHOOL,BALLSTON SPA,12020,210 BALLSTON AVE,87,55,No,Yes,43.00894, -73.786779,66770,219607,203647,3053,3880,5279
ORLEANS-NIAGARA BOCES MEDINA OLC (LEAD ONLY),BOCES School,Orleans,BOCES No District Name,MEDINA,14103,4232 SHELBY BASIN ROAD,15,4,No,Yes,43.248394, -78.218438,43391,42883,37658,2368,173,1757
X859,Public School,Bronx,NYC DOE,Bronx,10453,2246 JEROME AVENUE,19,0,No,No,40.857932, -73.903764,26120,1385108,151209,416695,47335,741413
CATTARAUGUS-ALLEGANY-ERIE-WYOMING BOCES ELLICOTTVILLE BLDG B (LEAD ONLY),BOCES School,Cattaraugus,BOCES No District Name,ELLICOTTVILLE,14731,5550 ROUTE 242E,NA,NA,No,No,42.224267, -78.606673,48125,80317,73849,966,524,1345
ALLEN ROAD ELEM SCHOOL,Public School,Onondaga,NORTH SYRACUSE CENTRAL SCHOOL,NO SYRACUSE,13212,803 ALLEN RD,123,0,No,Yes,43.065629, -76.168033,56175,467026,370040,48696,14370,18829
K195,Public School,Kings,NYC DOE,Brooklyn,11235,131 IRWIN STREET,73,0,No,No,40.580161, -73.943498,42298,2504700,893306,799066,260129,496285
BULKELEY SCHOOL,Public School,Dutchess,RHINEBECK CENTRAL SCHOOL,RHINEBECK,12572,45 NORTH PARK RD,101,0,No,No,41.686216, -73.840468,72331,297488,221812,27395,10330,31267
MARSHALL SCHOOL,Public School,Nassau,HEMPSTEAD UNION FREE SCHOOL,HEMPSTEAD,11550,15 E MARSHALL ST,21,1,No,Yes,40.715749, -73.601185,54776,1339532,877309,141305,101558,195355
QUEENSBURY 4TH & 5TH,Public School,Warren,QUEENSBURY UNION FREE SCHOOL,QUEENSBURY,12804,425 AVIATION RD,57,0,No,Yes,43.403024, -73.716044,60401,65707,62585,556,449,1178
BABYLON J S H S,Public School,Suffolk,BABYLON UNION FREE SCHOOL,BABYLON,11702,50 RAILROAD AVE,259,0,No,Yes,40.820237, -73.119032,101e3,1493350,1068728,102117,50295,246239
ERIE 2 BOCES LOGUDICE EDUCATIONAL CENTER A BLDG (LEAD & SCHOOL SURVEY),BOCES School,Chautauqua,BOCES No District Name,FREDONIA,14063,9520 FREDONIA STOCKTON ROAD,23,1,No,Yes,42.246904, -79.315313,47514,134905,120463,2763,676,8241
M075,Public School,New York,NYC DOE,Manhattan,10025,735 WEST END AVENUE,148,0,No,No,40.795109, -73.973996,68463,1585873,761493,205340,177624,403577
AUTUMN LANE ELEM SCHOOL,Public School,Monroe,GREECE CENTRAL SCHOOL,ROCHESTER,14626,2089 MAIDEN LN,86,0,No,Yes,43.161748, -77.620143,56480,744344,542034,107448,24023,54005
SMITH STREET SCHOOL,Public School,Nassau,UNIONDALE UNION FREE SCHOOL,UNIONDALE,11553,780 SMITH ST,32,0,No,Yes,40.715749, -73.601185,72431,1339532,877309,141305,101558,195355
GOOSEHILL PRIMARY CTR,Public School,Suffolk,COLD SPRING HARBOR CENTRAL SCH,COLD SPRING HARBOR,11724,75 GOOSE HILL RD,91,3,No,Yes,40.820237, -73.119032,136936,1493350,1068728,102117,50295,246239
VALLEY ELEM SCHOOL,Public School,Steuben,ADDISON CENTRAL SCHOOL,CAMERON MILLS,14820,6786 CT. RT. 119,25,0,No,Yes,42.270053, -77.324618,41908,98990,93476,1487,1151,1371
X973,Public School,Bronx,NYC DOE,Bronx,10460,1716 SOUTHERN BOULEVARD,68,0,No,No,40.836821, -73.887688,22625,1385108,151209,416695,47335,741413
MONTICELLO H S,Public School,Sullivan,MONTICELLO CENTRAL SCHOOL,MONTICELLO,12701,39 BREAKEY AVE,119,54,No,Yes,41.705166, -74.711705,31058,77547,57780,6349,1033,10554
ROBERT JACKSON ES,Public School,Chautauqua,FREWSBURG CENTRAL SCHOOL DISTRICT,FREWSBURG,14738,135 IVORY ST,106,13,No,Yes,42.246904, -79.315313,51524,134905,120463,2763,676,8241
MARGETTS ELEM SCHOOL,Public School,Rockland,EAST RAMAPO CENTRAL SCHOOL,MONSEY,10952,25 MARGETTS RD,53,25,No,Yes,41.127287, -74.017033,54275,311687,203670,34623,19099,48783
SCHOOL 16,Public School,Westchester,YONKERS CITY SCHOOLS,YONKERS,10703,N BROADWAY,54,0,No,No,41.039278, -73.805386,57466,949113,544563,126585,51123,207032
Q069,Public School,Queens,NYC DOE,Queens,11372,77-02 37 AVENUE,130,0,No,No,40.748804, -73.888457,47750,2230722,616727,395881,508334,613750
WARD MELVILLE S H S,Public School,Suffolk,THREE VILLAGE CENTRAL SCHOOL,EAST SETAUKET,11733,OLD TOWN RD,52,0,No,Yes,40.820237, -73.119032,115965,1493350,1068728,102117,50295,246239
PINE BUSH ES,Public School,Albany,GUILDERLAND CENTRAL SCHOOL DISTRICT,SCHENECTADY,12303,3437 CARMAN RD,91,6,No,Yes,42.678066, -73.814233,61223,304204,231152,36396,14500,14917
ERIE 2 BOCES W D ORMSBY EDUCATION CENTER (LEAD ONLY),BOCES School,Erie,BOCES No District Name,EAST AURORA,14052,1010 CENTER STREET,45,5,No,Yes,42.888143, -78.795544,71084,919040,714156,119916,23621,41731
K002,Public School,Kings,NYC DOE,Brooklyn,11226,655 PARKSIDE AVENUE,266,0,No,No,40.656423, -73.951575,40146,2504700,893306,799066,260129,496285
K335,Public School,Kings,NYC DOE,Brooklyn,11213,130 ROCHESTER AVENUE,116,0,No,No,40.674491, -73.928673,35344,2504700,893306,799066,260129,496285
R462,Public School,Richmond,NYC DOE,Staten Island,10314,1220 MANOR ROAD,19,0,No,No,40.588983, -74.130823,79820,468730,300169,44313,34697,81051
K028,Public School,Kings,NYC DOE,Brooklyn,11233,1001 HERKIMER STREET,54,0,No,No,40.678238, -73.919847,35620,2504700,893306,799066,260129,496285
SOUTHOLD JR - SR HS,Public School,Suffolk,SOUTHOLD UNION FREE SCHOOL,SOUTHOLD,11971,OAKLAWN AVE,62,2,No,Yes,40.820237, -73.119032,87297,1493350,1068728,102117,50295,246239
CANAJOHARIE MIDDLE SCHOOL,Public School,Montgomery,CANAJOHARIE CENTRAL SCHOOL,CANAJOHARIE,13317,25 SCHOOL DISTRICT RD,27,0,No,Yes,42.933637, -74.341972,52083,50219,42732,712,356,5654
MONHAGEN MS,Public School,Orange,MIDDLETOWN CITY SCHOOLS,MIDDLETOWN,10940,555 COUNTY RET 78,139,40,No,Yes,41.422459, -74.241929,60365,372813,254259,33895,8685,67185
OSSINING S H S,Public School,Westchester,OSSINING UNION FREE SCHOOL,OSSINING,10562,29 S HIGHLAND AVE,149,91,No,Yes,41.039278, -73.805386,76446,949113,544563,126585,51123,207032
PUTNAM NORTHERN WESTCHESTER BOCES FM BUILDING 4 RAHS (LEAD ONLY),BOCES School,Putnam,BOCES No District Name,YORKTOWN HEIGHTS,10598,845 FOX MEADOW ROAD,NA,NA,No,No,41.41131, -73.717443,103815,99710,82709,2047,1832,11661
LA FRANCES HARDIMAN ELEMENTARY SCHOOL,Public School,Suffolk,WYANDANCH UNION FREE SCHOOL,WYANDANCH,11798,792 MOUNT AVENUE,17,0,No,Yes,40.820237, -73.119032,60341,1493350,1068728,102117,50295,246239
WHEATLAND CHILI H S,Public School,Monroe,WHEATLAND CHILI CENTRAL SCHOOL,SCOTTSVILLE,14546,940 NORTH RD,17,0,No,No,43.161748, -77.620143,61685,744344,542034,107448,24023,54005
X102,Public School,Bronx,NYC DOE,Bronx,10460,1827 ARCHER STREET,216,0,No,No,40.838151, -73.866038,22625,1385108,151209,416695,47335,741413
EDWARD J BOSTI ELEM SCHOOL,Public School,Suffolk,CONNETQUOT CENT SCH OF ISLIP,BOHEMIA,11716,BOURNE BLVD,42,0,No,Yes,40.820237, -73.119032,99742,1493350,1068728,102117,50295,246239
MAC ARTHUR SCHOOL,Public School,Broome,BINGHAMTON CITY SCHOOL DISTRICT,BINGHAMTON,13903,1123 VESTAL AVE,60,0,This school has one or more lead-free buildings,No,42.122015, -75.933191,44868,200600,173074,8850,7019,6778
SHELTER ISLAND SCHOOL,Public School,Suffolk,SHELTER ISLAND U F S,SHELTER ISLAND,11964,33 N FERRY ROAD,61,8,No,Yes,40.820237, -73.119032,79007,1493350,1068728,102117,50295,246239
X029,Public School,Bronx,NYC DOE,Bronx,10451,758 COURTLANDT AVENUE,150,0,No,No,40.821544, -73.916419,26541,1385108,151209,416695,47335,741413
EAST ELEMENTARY SCHOOL,Public School,Suffolk,BRENTWOOD UNION FREE SCHOOL,BRENTWOOD,11717,HILLTOP DR,37,0,No,Yes,40.820237, -73.119032,68937,1493350,1068728,102117,50295,246239
Q058,Public School,Queens,NYC DOE,Queens,11378,72-24 GRAND AVENUE,161,0,No,No,40.728517, -73.890638,58317,2230722,616727,395881,508334,613750
GRIFFITH INST MS,Public School,Erie,SPRINGVILLE-GRIFF INST CENTRAL SCHOOL,SPRINGVILLE,14141,267 NEWMAN ST,39,37,No,Yes,42.888143, -78.795544,49688,919040,714156,119916,23621,41731
J F KENNEDY SCHOOL,Public School,St. Lawrence,OGDENSBURG CITY SCHOOLS,OGDENSBURG,13669,801-809 PARK ST,164,1,No,Yes,44.689468, -75.242045,40869,111944,103943,2259,1074,2146
Q707,Public School,Queens,NYC DOE,Queens,11366,75-40 PARSONS BOULEVARD,43,0,No,No,40.72528, -73.811408,75729,2230722,616727,395881,508334,613750
NASSAU BOCES LONG ISLAND HS FOR THE ARTS BLDG B (LEAD ONLY),BOCES School,Nassau,BOCES No District Name,SYOSSET,11791,239 COLD SPRING ROAD,1,0,No,Yes,40.715749, -73.601185,137796,1339532,877309,141305,101558,195355
FRANKLIN ACADEMY H S,Public School,Franklin,MALONE CENTRAL SCHOOL,MALONE,12953,STATE ST,155,0,No,Yes,44.705699, -74.340621,49363,51599,42640,2834,215,1506
M660,Public School,New York,NYC DOE,Manhattan,10010,127 EAST 22 STREET,36,0,No,No,40.739121, -73.985323,95556,1585873,761493,205340,177624,403577
Q173,Public School,Queens,NYC DOE,Queens,11365,174-10 67 AVENUE,104,0,No,No,40.734097, -73.795651,56131,2230722,616727,395881,508334,613750
WAYLAND-COHOCTON MIDDLE SCHOOL,Public School,Steuben,WAYLAND-COHOCTON CENTRAL SCHOOL DIST,WAYLAND,14572,2350 RT 63,61,0,No,Yes,42.270053, -77.324618,42358,98990,93476,1487,1151,1371
EAST ISLIP MIDDLE SCHOOL,Public School,Suffolk,EAST ISLIP UNION FREE SCHOOL,ISLIP TERRACE,11752,1 REDMEN ST,50,0,No,Yes,40.820237, -73.119032,94392,1493350,1068728,102117,50295,246239
SCHOOL 69 SCHOOL WITHOUT WALLS COMMENCEMENT ACADEMY,Public School,Monroe,ROCHESTER CITY SCHOOLS,ROCHESTER,14607,450 BROADWAY,14,0,No,Yes,43.161748, -77.620143,38750,744344,542034,107448,24023,54005
BRONXVILLE ELEMENTARY SCHOOL,Public School,Westchester,BRONXVILLE UNION FREE SCHOOL,BRONXVILLE,10708,177 PONDFIELD RD,126,21,No,Yes,41.039278, -73.805386,95891,949113,544563,126585,51123,207032
THOMAS JEFFERSON ELEM SCHOOL,Public School,Westchester,LAKELAND CENTRAL SCHOOL DISTRICT,YORKTOWN HGTS,10598,3636 GOMER ST,1,0,No,Yes,41.039278, -73.805386,103815,949113,544563,126585,51123,207032
KENT ELEMENTARY SCHOOL,Public School,Putnam,CARMEL CENTRAL SCHOOL,CARMEL,10512,1091 ROUTE 52,102,2,No,Yes,41.41131, -73.717443,91456,99710,82709,2047,1832,11661
X924,Public School,Bronx,NYC DOE,Bronx,10452,1425 WALTON AVENUE,5,0,No,No,40.8404, -73.915879,26636,1385108,151209,416695,47335,741413
FELIX FESTA ACHIEVEMENT MIDDLE SCHOOL,Public School,Rockland,CLARKSTOWN CENTRAL SCHOOL,WEST NYACK,10994,30 PARROTT RD,164,15,No,Yes,41.127287, -74.017033,126386,311687,203670,34623,19099,48783
RED JACKET ELEM SCHOOL,Public School,Ontario,MANCHESTER-SHORTSVILLE SCHOOL DISTRICT,SHORTSVILLE,14548,1506 ROUTE 21,96,1,No,Yes,42.894571, -77.252045,62043,107931,99119,2226,1111,3679
Q491,Public School,Queens,NYC DOE,Queens,11411,207-01 116 AVENUE,19,0,No,No,40.698786, -73.74633,81390,2230722,616727,395881,508334,613750
OLEAN SHS,Public School,Cattaraugus,OLEAN CITY SCHOOLS,OLEAN,14760,410 W SULLIVAN ST,159,37,No,Yes,42.224267, -78.606673,43798,80317,73849,966,524,1345
TRAPHAGEN SCHOOL,Public School,Westchester,MOUNT VERNON CITY SCHOOLS,MT VERNON,10552,72 LEXINGTON AVE,45,20,No,Yes,41.039278, -73.805386,64494,949113,544563,126585,51123,207032
FLORAL PARK BELLEROSE SCHOOL,Public School,Nassau,FLORAL PK-BELLROSE U F S,FLORAL PARK,11001,2 LARCH AVE,106,0,No,Yes,40.715749, -73.601185,101537,1339532,877309,141305,101558,195355
K169,Public School,Kings,NYC DOE,Brooklyn,11232,4305 7 AVENUE,100,0,No,No,40.645825, -74.0017,40565,2504700,893306,799066,260129,496285
HUTH ROAD SCHOOL,Public School,Erie,GRAND ISLAND CENTRAL SCHOOL,GRAND ISLAND,14072,1773 HUTH RD,1,0,No,Yes,42.888143, -78.795544,80180,919040,714156,119916,23621,41731
GREENFIELD CENTER SCHOOL,Public School,Saratoga,SARATOGA SPRINGS CITY SCHOOLS,GREENFIELD CENTER,12833,3180 RT. 9N,109,13,No,Yes,43.00894, -73.786779,54503,219607,203647,3053,3880,5279
M435,Public School,New York,NYC DOE,Manhattan,10029,260 PLEASANT AVENUE,252,0,No,No,40.794184, -73.932868,31254,1585873,761493,205340,177624,403577
SAMUAL J PRESTON SCHOOL,Public School,Westchester,HARRISON CENTRAL SCHOOL,WHITE PLAINS,10605,TAYLOR AVE,42,6,No,Yes,41.039278, -73.805386,105801,949113,544563,126585,51123,207032
Q421,Public School,Queens,NYC DOE,Queens,11413,143-10 SPRINGFIELD BOULEVARD,12,0,No,No,40.66903, -73.757744,77739,2230722,616727,395881,508334,613750
GREATER SOUTHERN TIER BOCES WILDWOOD BLDG 5 TRADES/WELDING (LEAD ONLY),BOCES School,Schuyler,BOCES No District Name,HORNELL,14843,1126 BALD HILL ROAD,1,0,No,Yes,42.38593, -76.872032,39076,18343,17646,143,51,234
FALLSBURGH J S H S,Public School,Sullivan,FALLSBURGH CENTRAL SCHOOL,FALLSBURGH,12733,115 BRICKMAN RD,181,39,No,Yes,41.705166, -74.711705,48173,77547,57780,6349,1033,10554
